condition,face_idx,slug,det_rate,mean_conf,max_conf
ptd_only,46,willow_tree,1.0,0.6554380401236112,0.7073241472244263
ptd_only,47,baobab_tree,1.0,0.6640479623294268,0.7201520204544067
ptd_only,48,overgrown_garden,0.0,0.0,0.0
ptd_only,49,mesa,1.0,0.5760293143694518,0.5911393761634827
ptd_only,50,rock_arch,0.0,0.0,0.0
ptd_only,51,hoodoos,0.0,0.0,0.0
ptd_only,52,sea_stacks,1.0,0.6954144239425659,0.7310155630111694
ptd_only,53,salt_flat,1.0,0.592958538258662,0.6668931841850281
ptd_only,54,crystal_cave,0.9836065573770492,0.540589157740275,0.60658198595047
ptd_only,55,basalt_columns,0.0,0.0,0.0
ptd_only,56,badlands,0.0,0.0,0.0
ptd_only,57,high_plateau,0.0,0.0,0.0
ptd_only,58,limestone_cliff,1.0,0.561494387564112,0.6069988012313843
ptd_only,59,medieval_castle,0.01639344262295082,0.549250602722168,0.549250602722168
ptd_only,60,gothic_cathedral,1.0,0.8915673201201392,0.9042198657989502
ptd_only,61,roman_ruins,0.06557377049180328,0.5227040350437164,0.5386675000190735
ptd_only,62,japanese_temple,0.0,0.0,0.0
ptd_only,63,chinese_pagoda,0.0,0.0,0.0
ptd_only,64,jungle_temple,0.0,0.0,0.0
ptd_only,65,lighthouse,0.639344262295082,0.567178643666781,0.6131922006607056
ptd_only,66,stone_bridge,1.0,0.7567001102400608,0.810745120048523
ptd_only,67,abandoned_factory,0.0,0.0,0.0
ptd_only,68,old_train_station,1.0,0.8442476274537258,0.8559141159057617
ptd_only,69,moroccan_market,0.32786885245901637,0.5187891721725464,0.5936819314956665
ptd_only,70,venetian_canal,0.0,0.0,0.0
ptd_only,71,parisian_street,1.0,0.9083907868041367,0.926174521446228
ptd_only,72,tuscan_village,1.0,0.7709257495207865,0.8061758279800415
ptd_only,73,alpine_village,0.0,0.0,0.0
ptd_only,74,nordic_village,0.0,0.0,0.0
ptd_only,75,english_countryside,0.0,0.0,0.0
ptd_only,76,harbor_dusk,0.9836065573770492,0.5524522413810095,0.6165798902511597
ptd_only,77,rooftop_city,0.08196721311475409,0.5568275570869445,0.5881891250610352
ptd_only,78,skyline_night,0.0,0.0,0.0
ptd_only,79,subway_tunnel,1.0,0.841696271153747,0.8579870462417603
ptd_only,80,back_alley,1.0,0.7882296061906658,0.8474580645561218
ptd_only,81,stormy_sea,0.0,0.0,0.0
ptd_only,82,calm_lake,0.9180327868852459,0.5433864550931113,0.5991551876068115
ptd_only,83,frozen_lake,0.9672131147540983,0.7386214611893993,0.8015532493591309
ptd_only,84,reflection_pond,0.0,0.0,0.0
ptd_only,85,coral_reef,0.0,0.0,0.0
ptd_only,86,mangrove_forest,0.0,0.0,0.0
ptd_only,87,misty_swamp,1.0,0.6930224465542152,0.7782216668128967
ptd_only,88,arctic_tundra,0.01639344262295082,0.5220392942428589,0.5220392942428589
ptd_only,89,african_savanna,0.0,0.0,0.0
ptd_only,90,twilight_plain,0.0,0.0,0.0
ptd_only,91,golden_hour_field,1.0,0.6197515335239348,0.6498178243637085
ptd_only,92,sunrise_mountains,0.0,0.0,0.0
ptd_only,93,rainbow_valley,0.0,0.0,0.0
ptd_only,94,tornado_plains,0.0,0.0,0.0
ptd_only,95,starry_desert,0.0,0.0,0.0
ptd_only,96,weathered_stone,0.2786885245901639,0.5715769108603982,0.6586176753044128
ptd_only,97,tree_bark,0.08196721311475409,0.5348313927650452,0.5559070706367493
ptd_only,98,cracked_earth,0.0,0.0,0.0
ptd_only,99,ivy_wall,0.0,0.0,0.0
vanilla,0,snowy_mountain,0.01639344262295082,0.6152377724647522,0.6152377724647522
vanilla,1,canyon,0.16393442622950818,0.5136737406253815,0.537242591381073
vanilla,2,sand_dune,0.3114754098360656,0.6878853471655595,0.7358895540237427
vanilla,3,desert,0.0,0.0,0.0
vanilla,4,mountain_stream,0.0,0.0,0.0
vanilla,5,sky,0.0,0.0,0.0
vanilla,6,village_mountains,0.0,0.0,0.0
vanilla,7,forest,0.0,0.0,0.0
vanilla,8,ancient_ruins,0.0,0.0,0.0
