condition,face_idx,slug,lpips,score
ptd_only,67,abandoned_factory,0.3772863447666168,0.6227136552333832
ptd_only,68,old_train_station,0.6707206964492798,0.3292793035507202
ptd_only,69,moroccan_market,0.5508695840835571,0.44913041591644287
ptd_only,70,venetian_canal,0.44600188732147217,0.5539981126785278
ptd_only,71,parisian_street,0.7177077531814575,0.2822922468185425
ptd_only,72,tuscan_village,0.7283596396446228,0.2716403603553772
ptd_only,73,alpine_village,0.3232743740081787,0.6767256259918213
ptd_only,74,nordic_village,0.4677717685699463,0.5322282314300537
ptd_only,75,english_countryside,0.5050788521766663,0.49492114782333374
ptd_only,76,harbor_dusk,0.7534226179122925,0.24657738208770752
ptd_only,77,rooftop_city,0.38526999950408936,0.6147300004959106
ptd_only,78,skyline_night,0.499116986989975,0.500883013010025
ptd_only,79,subway_tunnel,0.7213545441627502,0.27864545583724976
ptd_only,80,back_alley,0.7613758444786072,0.23862415552139282
ptd_only,81,stormy_sea,0.7348013520240784,0.26519864797592163
ptd_only,82,calm_lake,0.5144506096839905,0.4855493903160095
ptd_only,83,frozen_lake,0.7119926810264587,0.28800731897354126
ptd_only,84,reflection_pond,0.5184509754180908,0.4815490245819092
ptd_only,85,coral_reef,0.46238580346107483,0.5376141965389252
ptd_only,86,mangrove_forest,0.7440437078475952,0.2559562921524048
ptd_only,87,misty_swamp,0.7288503646850586,0.2711496353149414
ptd_only,88,arctic_tundra,0.6969863176345825,0.3030136823654175
ptd_only,89,african_savanna,0.3643757104873657,0.6356242895126343
ptd_only,90,twilight_plain,0.40971097350120544,0.5902890264987946
ptd_only,91,golden_hour_field,0.4965568780899048,0.5034431219100952
ptd_only,92,sunrise_mountains,0.3560123145580292,0.6439876854419708
ptd_only,93,rainbow_valley,0.7435905933380127,0.2564094066619873
ptd_only,94,tornado_plains,0.42350929975509644,0.5764907002449036
ptd_only,95,starry_desert,0.4858109652996063,0.5141890347003937
ptd_only,96,weathered_stone,0.6723911762237549,0.3276088237762451
ptd_only,97,tree_bark,0.5703030824661255,0.4296969175338745
ptd_only,98,cracked_earth,0.5543909668922424,0.44560903310775757
ptd_only,99,ivy_wall,0.3381556570529938,0.6618443429470062
vanilla,0,snowy_mountain,0.09001189470291138,0.9099881052970886
vanilla,1,canyon,0.03486361354589462,0.9651363864541054
vanilla,2,sand_dune,0.046650707721710205,0.9533492922782898
vanilla,3,desert,0.08168470114469528,0.9183152988553047
vanilla,4,mountain_stream,0.11694934964179993,0.8830506503582001
vanilla,5,sky,0.06834184378385544,0.9316581562161446
vanilla,6,village_mountains,0.08142022788524628,0.9185797721147537
vanilla,7,forest,0.0850544422864914,0.9149455577135086
vanilla,8,ancient_ruins,0.08817794919013977,0.9118220508098602
vanilla,9,city_street,0.095412977039814,0.904587022960186
vanilla,10,waterfall,0.08249801397323608,0.9175019860267639
vanilla,11,sea_cliff,0.08717434108257294,0.9128256589174271
vanilla,12,volcano,0.07579461485147476,0.9242053851485252
vanilla,13,glacier,0.08599941432476044,0.9140005856752396
vanilla,14,cave_entrance,0.09901940822601318,0.9009805917739868
vanilla,15,beach,0.09856309741735458,0.9014369025826454
vanilla,16,ocean_waves,0.08185596764087677,0.9181440323591232
vanilla,17,iceberg,0.09081926196813583,0.9091807380318642
vanilla,18,fjord,0.0760321170091629,0.9239678829908371
vanilla,19,tropical_lagoon,0.09200584888458252,0.9079941511154175
vanilla,20,desert_oasis,0.0741625428199768,0.9258374571800232
vanilla,21,hot_springs,0.09313032776117325,0.9068696722388268
vanilla,22,geyser,0.10711351782083511,0.8928864821791649
vanilla,23,aurora,0.09347938001155853,0.9065206199884415
vanilla,24,starry_night,0.061086900532245636,0.9389130994677544
vanilla,25,sunset_hills,0.10570874810218811,0.8942912518978119
vanilla,26,storm_clouds,0.06619492918252945,0.9338050708174706
vanilla,27,lightning_storm,0.08638280630111694,0.9136171936988831
vanilla,28,foggy_valley,0.08323903381824493,0.9167609661817551
vanilla,29,misty_morning,0.0775981917977333,0.9224018082022667
vanilla,30,rainforest,0.07582083344459534,0.9241791665554047
vanilla,31,bamboo_forest,0.0960695892572403,0.9039304107427597
vanilla,32,autumn_forest,0.0626489520072937,0.9373510479927063
vanilla,33,winter_forest,0.10723721981048584,0.8927627801895142
vanilla,34,pine_forest,0.08279582858085632,0.9172041714191437
vanilla,35,misty_forest,0.07500147819519043,0.9249985218048096
vanilla,36,moonlit_forest,0.0855591893196106,0.9144408106803894
vanilla,37,wildflower_meadow,0.11748073995113373,0.8825192600488663
vanilla,38,lavender_field,0.10046831518411636,0.8995316848158836
vanilla,39,sunflower_field,0.07632826268672943,0.9236717373132706
vanilla,40,wheat_field,0.06792429089546204,0.932075709104538
vanilla,41,rice_terraces,0.07024093717336655,0.9297590628266335
vanilla,42,vineyard,0.10043205320835114,0.8995679467916489
vanilla,43,tea_plantation,0.10194326192140579,0.8980567380785942
vanilla,44,cherry_blossom,0.06671275198459625,0.9332872480154037
vanilla,45,ancient_oak,0.0770883560180664,0.9229116439819336
vanilla,46,willow_tree,0.12083977460861206,0.8791602253913879
vanilla,47,baobab_tree,0.07112877815961838,0.9288712218403816
vanilla,48,overgrown_garden,0.08425094932317734,0.9157490506768227
vanilla,49,mesa,0.06786876171827316,0.9321312382817268
vanilla,50,rock_arch,0.07517470419406891,0.9248252958059311
vanilla,51,hoodoos,0.08549633622169495,0.914503663778305
vanilla,52,sea_stacks,0.10647661238908768,0.8935233876109123
vanilla,53,salt_flat,0.06570074707269669,0.9342992529273033
vanilla,54,crystal_cave,0.08274723589420319,0.9172527641057968
vanilla,55,basalt_columns,0.06521918624639511,0.9347808137536049
vanilla,56,badlands,0.09436199069023132,0.9056380093097687
vanilla,57,high_plateau,0.0895766019821167,0.9104233980178833
vanilla,58,limestone_cliff,0.07198330014944077,0.9280166998505592
vanilla,59,medieval_castle,0.07628948986530304,0.923710510134697
vanilla,60,gothic_cathedral,0.09321756660938263,0.9067824333906174
vanilla,61,roman_ruins,0.09167502820491791,0.9083249717950821
vanilla,62,japanese_temple,0.07509560137987137,0.9249043986201286
vanilla,63,chinese_pagoda,0.06946630030870438,0.9305336996912956
vanilla,64,jungle_temple,0.13188642263412476,0.8681135773658752
